Case number,Block,IUCR,Location Description,Beat,Ward,FBI Code,Hour,Weekday,Monthday,Month,Violent
HM232458,070XX S MERRILL AVE,1754,RESIDENCE,0331,5,02,0,1,1,1,1
HM472409,006XX N STATE ST,1754,HOTEL/MOTEL,1832,42,02,0,1,1,1,1
HM489712,100XX S EMERALD AVE,1754,RESIDENCE,2232,34,02,23,6,21,7,1
HM496701,054XX W MONROE ST,1754,RESIDENCE,1522,29,02,0,1,1,1,1
HM505731,034XX W SHAKESPEARE AVE,1754,RESIDENCE,1413,26,02,0,1,1,1,1
HM342534,055XX W 64TH ST,1754,RESIDENCE,0813,13,02,0,1,1,1,1
HM548388,051XX S CICERO AVE,1754,APARTMENT,0814,23,02,12,0,1,4,1
HM594320,013XX W CULLERTON ST,1754,RESIDENCE,1222,25,02,0,6,1,9,1
HM661782,075XX S PAULINA ST,1754,RESIDENCE,0611,17,02,7,0,15,4,1
HM742302,024XX W 45TH PL,1753,RESIDENCE,0914,12,02,22,2,28,8,1
HM748312,028XX S RIDGEWAY AVE,1754,RESIDENCE,1031,22,02,0,1,1,1,1
HN150549,014XX W 76TH ST,1754,APARTMENT,0612,17,02,0,1,1,1,1
HN187942,015XX W WASHBURNE AVE,1754,RESIDENCE,1231,2,02,0,1,1,1,1
HN205656,037XX N PAULINA ST,1025,RESIDENCE,1923,47,09,19,6,11,8,0
HN268267,008XX N FRANCISCO AVE,1753,OTHER,1311,26,02,0,1,1,1,1
HN595652,031XX W MONTROSE AVE,1754,RESIDENCE,1724,33,02,0,6,1,9,1
HN558447,047XX S JUSTINE ST,1754,RESIDENCE,0931,20,02,0,1,1,1,1
HN704897,035XX W MC LEAN AVE,1754,RESIDENCE,1413,26,02,22,3,1,8,1
HN725837,056XX S KOLMAR AVE,1754,RESIDENCE,0813,13,02,22,1,15,10,1
HN764710,033XX W 59TH ST,1754,RESIDENCE,0822,14,02,16,0,7,10,1
HP263700,063XX S MORGAN ST,1754,RESIDENCE,0724,16,02,8,1,1,1,1
HP371544,095XX S SANGAMON ST,1754,RESIDENCE,2223,21,02,0,2,25,12,1
HP456511,019XX N RICHMOND ST,1753,APARTMENT,1421,35,02,8,1,16,7,1
HP481805,063XX S COTTAGE GROVE AVE,1753,APARTMENT,0312,20,02,20,1,19,2,1
HP736126,012XX S DAMEN AVE,1754,POLICE FACILITY/VEH PARKING LOT,1224,2,02,0,1,1,1,1
HR131352,027XX N SAWYER AVE,1754,APARTMENT,1412,35,02,0,1,1,1,1
HR301148,117XX S EGGLESTON AVE,1754,RESIDENCE,0522,34,02,0,1,1,1,1
HR388632,051XX S LAVERGNE AVE,1754,RESIDENCE,0814,23,02,0,1,1,1,1
HR376269,004XX W 57TH PL,1754,RESIDENCE,0711,20,02,0,5,1,6,1
HR548319,023XX N HAMLIN AVE,1754,RESIDENCE,2525,30,02,0,1,18,6,1
HR604907,095XX S CHAPPEL AVE,1754,RESIDENCE,0431,7,02,14,1,1,10,1
HR679999,028XX N CAMPBELL AVE,1754,RESIDENCE,1411,1,02,0,1,1,1,1
HS284380,106XX S RHODES AVE,1754,RESIDENCE,0512,9,02,0,1,1,1,1
HS325127,102XX S WALDEN PKWY,1754,RESIDENCE,2213,19,02,0,1,1,1,1
HS375126,042XX W CORTEZ ST,1754,APARTMENT,1111,37,02,0,1,1,10,1
HS607300,050XX W CULLOM AVE,1754,APARTMENT,1624,45,02,12,5,9,11,1
HS637395,044XX N MAGNOLIA AVE,1754,RESIDENCE,2311,46,02,0,4,31,5,1
HT115976,066XX S KEATING AVE,1754,RESIDENCE,0833,13,02,0,1,1,1,1
HT138494,030XX N ELBRIDGE AVE,1754,RESIDENCE,1412,35,02,21,2,1,5,1
